feature,importance
Price,0.5106431922804278
Game Length (Hours),0.4239639327217113
Sentiment Score,0.01828563011567829
Publisher_Take-Two Interactive,0.01522724240347647
Age Group Targeted_Teen,0.011940205749177882
Publisher_Square Enix,0.011507931051314684
Developer_Rockstar Games,0.008431865678213633
Genre_Adventure,0.0
Genre_Role-Playing Game,0.0
Genre_Puzzle,0.0
Genre_Party,0.0
Genre_Fighting,0.0
Platform_PC,0.0
Genre_Shooter,0.0
Genre_Sports,0.0
Genre_Simulation,0.0
Platform_Xbox,0.0
Age Group Targeted_Everyone 10+,0.0
Age Group Targeted_Mature,0.0
Game Mode_Online,0.0
Multiplayer_Yes,0.0
Platform_PS4,0.0
Platform_Switch,0.0
Genre_Strategy,0.0
Developer_Capcom,0.0
Developer_CD Projekt Red,0.0
Requires Special Device_Yes,0.0
Developer_EA Sports,0.0
Developer_Innersloth,0.0
Developer_Nintendo,0.0
Developer_Game Freak,0.0
Developer_Epic Games,0.0
Publisher_Capcom,0.0
Developer_Valve,0.0
Publisher_Electronic Arts,0.0
Publisher_Epic Games,0.0
Publisher_Nintendo,0.0
Publisher_Innersloth,0.0
Publisher_Valve,0.0
Sentiment_Positive,0.0
